,,,,,,,,,,,,,,,,,,,,"$7,084,000.00",,"$2,072,384.67","$5,000,000.00",,,,,,,,,AVG_GPY_%,0.00%,,8.00%,,,,,,,,,,,,,,,AVG_GPY_%,3.50%,,8.00%,,,,,โปะ+หุ้น,ผ่อน,"฿20,000.00",โปะ,"฿4,000.00",รวมจ่ายธนาคาร,"฿24,000.00",เก็บหุ้น,"฿4,000.00",รวมจ่ายต่อเดือน,"฿28,000.00",
Check,Year,อายุ,ปี,เดือน,Date,วัน,งวดที่,ปีที่,ผ่อนเริ่มต้น,เงินโปะ,จ่ายรวมต่อเดือน,ดอกเบี้ย %,ดอกเบี้ยจ่ายบาท,เงินต้นจ่าย,เงินต้นคงเหลือ_DCA_ทั้งหมด,ลดต้นรวม,จ่ายรวมดอกเบี้ย (ทั้งหมด),ดอกเบี้ยรวม,เงินต้นจ่ายรวม,ผ่อนต่อเดือน_โปะธรรมดา,ดอกเบี้ยต่อเดือน_โปะธรรมดา,เข้าต้นต่อเดือน_โปะธรรมดา,เงินต้นคงเหลือ_โปะธรรมดา,ผ่อนต่อเดือน_ไม่โปะ,ดอกเบี้ยต่อเดือน_ไม่โปะ,เข้าต้นต่อเดือน_ไม่โปะ,เงินต้นคงเหลือ_ไม่โปะ,,เก็บซื้อหุ้น DCA,เงินต้นไม่โต,ส่วนต่างการเติบโต,มุลค่าลงทุนรวม,Growth_%,มูลค่าหุ้นรวม_DCA100%,%_ปันผล,เงินปันผล,ปันผลทั้งปี,ปันผลเฉลี่ยต่อเดือน,,ผ่อนเริ่มต้น,เงินโปะ,จ่ายรวมต่อเดือน,ดอกเบี้ยจ่ายบาท,เงินต้นจ่าย,เงินต้นคงเหลือ_DCA_บางส่วน,,เก็บซื้อหุ้น DCA,เงินต้นไม่โต,ส่วนต่างการเติบโต,มุลค่าลงทุนรวม,Growth_%,มูลค่าหุ้นรวม_DCA_บางส่วน,%_ปันผล,เงินปันผล,ปันผลทั้งปี,ปันผลเฉลี่ยต่อเดือน,,,,,,,,,,,,,
FALSE,2026,32,2569,6,2569/6,30,6,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,300.35","฿5,699.65","฿4,965,374.53","-฿5,699.65","฿121,152.00","฿86,526.54","฿34,625.47","฿28,000.00","฿14,187.94","฿13,812.06","฿4,918,186.99","฿20,000.00","฿14,303.68","฿5,696.32","฿4,966,536.61",,"฿8,000.00","฿48,000.00",฿0.00,"฿48,000.00",0.00%,"฿48,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,244.15","฿9,755.85","฿4,941,780.76",,"฿4,000.00","฿24,000.00",฿0.00,"฿24,000.00",0.00%,"฿24,000.00",,฿0.00,,,,,,,,,,,,,,,
FALSE,2026,32,2569,7,2569/7,31,7,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,760.09","฿5,239.91","฿4,960,134.62","-฿5,239.91","฿141,152.00","฿101,286.63","฿39,865.38","฿28,000.00","฿14,619.82","฿13,380.18","฿4,904,806.81","฿20,000.00","฿14,763.54","฿5,236.46","฿4,961,300.15",,"฿8,000.00","฿56,000.00",฿0.00,"฿56,000.00",0.00%,"฿56,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,689.95","฿9,310.05","฿4,932,470.71",,"฿4,000.00","฿28,000.00",฿0.00,"฿28,000.00",0.00%,"฿28,000.00",,฿0.00,,,,ปันผลโปะ,TRUE,,,,,,,,,,
FALSE,2026,32,2569,8,2569/8,31,8,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,744.51","฿5,255.49","฿4,954,879.13","-฿5,255.49","฿161,152.00","฿116,031.14","฿45,120.87","฿28,000.00","฿14,580.04","฿13,419.96","฿4,891,386.85","฿20,000.00","฿14,747.97","฿5,252.03","฿4,956,048.13",,"฿8,000.00","฿64,000.00",฿0.00,"฿64,000.00",0.00%,"฿64,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,662.28","฿9,337.72","฿4,923,132.99",,"฿4,000.00","฿32,000.00",฿0.00,"฿32,000.00",0.00%,"฿32,000.00",,฿0.00,,,,พอร์ตโปะ,FALSE,,,,,,,,,,
FALSE,2026,32,2569,9,2569/9,30,9,1,"฿20,000.00","฿2,304.00","฿22,304.00",3.50%,"฿14,253.76","฿8,050.24","฿4,946,828.89","-฿8,050.24","฿183,456.00","฿130,284.90","฿53,171.11","฿28,000.00","฿14,071.11","฿13,928.89","฿4,877,457.96","฿20,000.00","฿14,257.12","฿5,742.88","฿4,950,305.25",,"฿8,000.00","฿72,000.00",฿0.00,"฿72,000.00",0.00%,"฿72,000.00",3.20%,"฿2,304.00",,,,"฿20,000.00","฿5,152.00","฿25,152.00","฿14,162.44","฿10,989.56","฿4,912,143.43",,"฿4,000.00","฿36,000.00",฿0.00,"฿36,000.00",0.00%,"฿36,000.00",3.20%,"฿1,152.00",,,,ต่างกับโปะธรรมดา,24,เดือน,2.00,ปี,ส่วนต่าง,"฿672,000.00",บาท,,,,
FALSE,2026,32,2569,10,2569/10,31,10,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,704.96","฿5,295.04","฿4,941,533.85","-฿5,295.04","฿203,456.00","฿144,989.86","฿58,466.15","฿28,000.00","฿14,498.74","฿13,501.26","฿4,863,956.71","฿20,000.00","฿14,715.29","฿5,284.71","฿4,945,020.54",,"฿8,000.00","฿80,000.00",฿0.00,"฿80,000.00",0.00%,"฿80,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,601.85","฿9,398.15","฿4,902,745.28",,"฿4,000.00","฿40,000.00",฿0.00,"฿40,000.00",0.00%,"฿40,000.00",,฿0.00,,,,ต่างกับไม่โปะ,-143,เดือน,-11.92,ปี,ส่วนต่าง,"-฿644,000.00",บาท,,,,
FALSE,2026,32,2569,11,2569/11,30,11,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,215.37","฿5,784.63","฿4,935,749.22","-฿5,784.63","฿223,456.00","฿159,205.23","฿64,250.78","฿28,000.00","฿13,992.20","฿14,007.80","฿4,849,948.91","฿20,000.00","฿14,225.40","฿5,774.60","฿4,939,245.95",,"฿8,000.00","฿88,000.00",฿0.00,"฿88,000.00",0.00%,"฿88,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,103.79","฿9,896.21","฿4,892,849.07",,"฿4,000.00","฿44,000.00",฿0.00,"฿44,000.00",0.00%,"฿44,000.00",,฿0.00,,,,,,,,,,,,,,,
FALSE,2026,32,2569,12,2569/12,31,12,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,672.02","฿5,327.98","฿4,930,421.24","-฿5,327.98","฿243,456.00","฿173,877.25","฿69,578.76","฿28,000.00","฿14,416.97","฿13,583.03","฿4,836,365.88","฿20,000.00","฿14,682.42","฿5,317.58","฿4,933,928.36",,"฿8,000.00","฿96,000.00",฿0.00,"฿96,000.00",0.00%,"฿96,000.00",0.00%,฿0.00,"฿3,456.00",฿288.00,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,544.50","฿9,455.50","฿4,883,393.56",,"฿4,000.00","฿48,000.00",฿0.00,"฿48,000.00",0.00%,"฿48,000.00",0.00%,฿0.00,"฿1,728.00",฿144.00,,,,,,,,,,,,,
FALSE,2027,33,2570,1,2570/1,31,13,2,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,656.18","฿5,343.82","฿4,925,077.42","-฿5,343.82","฿263,456.00","฿188,533.43","฿74,922.58","฿28,000.00","฿14,376.59","฿13,623.41","฿4,822,742.48","฿20,000.00","฿14,666.61","฿5,333.39","฿4,928,594.97",,"฿8,000.00","฿104,000.00",฿0.00,"฿104,000.00",0.00%,"฿104,000.00",0.00%,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,516.39","฿9,483.61","฿4,873,909.95",,"฿4,000.00","฿52,000.00",฿0.00,"฿52,000.00",0.00%,"฿52,000.00",0.00%,฿0.00,,,,,,,,,,,,,,,
FALSE,2027,33,2570,2,2570/2,28,14,2,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿13,223.50","฿6,776.50","฿4,918,300.92","-฿6,776.50","฿283,456.00","฿201,756.93","฿81,699.08","฿28,000.00","฿12,948.73","฿15,051.27","฿4,807,691.21","฿20,000.00","฿13,232.94","฿6,767.06","฿4,921,827.91",,"฿8,000.00","฿112,000.00",฿0.00,"฿112,000.00",0.00%,"฿112,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿13,086.11","฿10,913.89","฿4,862,996.07",,"฿4,000.00","฿56,000.00",฿0.00,"฿56,000.00",0.00%,"฿56,000.00",,฿0.00,,,,,,,,,,,,,,,
FALSE,2027,33,2570,3,2570/3,31,15,2,"฿20,000.00","฿5,760.00","฿25,760.00",3.50%,"฿14,620.15","฿11,139.85","฿4,907,161.07","-฿11,139.85","฿309,216.00","฿216,377.08","฿92,838.93","฿28,000.00","฿14,291.36","฿13,708.64","฿4,793,982.57","฿20,000.00","฿14,630.64","฿5,369.36","฿4,916,458.55",,"฿8,000.00","฿120,000.00",฿0.00,"฿120,000.00",0.00%,"฿120,000.00",4.80%,"฿5,760.00",,,,"฿20,000.00","฿6,880.00","฿26,880.00","฿14,455.76","฿12,424.24","฿4,850,571.82",,"฿4,000.00","฿60,000.00",฿0.00,"฿60,000.00",0.00%,"฿60,000.00",4.80%,"฿2,880.00",,,,,,,,,,,,,,,
FALSE,2027,33,2570,4,2570/4,30,16,2,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,116.49","฿5,883.51","฿4,901,277.56","-฿5,883.51","฿329,216.00","฿230,493.57","฿98,722.44","฿28,000.00","฿13,790.91","฿14,209.09","฿4,779,773.48","฿20,000.00","฿14,143.24","฿5,856.76","฿4,910,601.79",,"฿8,000.00","฿128,000.00",฿0.00,"฿128,000.00",0.00%,"฿128,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿13,953.70","฿10,046.30","฿4,840,525.52",,"฿4,000.00","฿64,000.00",฿0.00,"฿64,000.00",0.00%,"฿64,000.00",,฿0.00,,,,,,,,,,,,,,,
FALSE,2027,33,2570,5,2570/5,31,17,2,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,569.55","฿5,430.45","฿4,895,847.11","-฿5,430.45","฿349,216.00","฿245,063.12","฿104,152.89","฿28,000.00","฿14,208.37","฿13,791.63","฿4,765,981.84","฿20,000.00","฿14,597.27","฿5,402.73","฿4,905,199.05",,"฿8,000.00","฿136,000.00",฿0.00,"฿136,000.00",0.00%,"฿136,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,388.96","฿9,611.04","฿4,830,914.48",,"฿4,000.00","฿68,000.00",฿0.00,"฿68,000.00",0.00%,"฿68,000.00",,฿0.00,,,,,,,,,,,,,,,
FALSE,2027,33,2570,6,2570/6,30,18,2,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,083.94","฿5,916.06","฿4,889,931.06","-฿5,916.06","฿369,216.00","฿259,147.06","฿110,068.94","฿28,000.00","฿13,710.36","฿14,289.64","฿4,751,692.20","฿20,000.00","฿14,110.85","฿5,889.15","฿4,899,309.90",,"฿8,000.00","฿144,000.00",฿0.00,"฿144,000.00",0.00%,"฿144,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿13,897.15","฿10,102.85","฿4,820,811.63",,"฿4,000.00","฿72,000.00",฿0.00,"฿72,000.00",0.00%,"฿72,000.00",,฿0.00,,,,,,,,,,,,,,,
